@id,@lon,@lat,amenity,fee,opening_hours,operator,socket:type2:output,tip,address,municipality
1,21.4275923,41.99213,charging_station,no,24/7,EVN,22kW,Wallbe Pro,Sv. Kiril i Metodij 18  Skopje 1000,Centar
2,21.465178,41.9867146,charging_station,no,24/7,EVN,22kW,Wallbe Pro,Boulevar Jane Sandanski 35  Skopje 1000,Aerodrom
3,21.4322161,41.9948629,charging_station,no,24/7,EVN,22kW,Wallbe Pro,bul. 11 Oktomvri br. 9 Skopje 1000 MK,Centar
4,21.4180965,42.005371,charging_station,no,24/7,EVN,22kW,Wallbe Pro,Albert Einstein 83  Skopje 1000,Centar
5,21.4035307,42.0136336,charging_station,no,24/7,EVN,22kW,Wallbe Pro Plus,Skupi 5a  Skopje 1000,Centar
6,21.4269103,42.0061889,charging_station,no,24/7,EVN,22kW,Wallbe Pro,1732 br.4  Skopje 1000,Centar
7,21.3632349,42.0091302,charging_station,no,24/7,EVN,22kW,Wallbe Pro Plus,Partizanski Odredi Skopje 1000,Gjorche Petrov
8,21.3724961,42.0067912,charging_station,no,24/7,EVN,22kW,Wallbe Pro Plus,Delfina Square Mramorec Nr 8a MK Skopje 1000,Karposh
9,21.41197,41.9947319,charging_station,no,24/7,EVN,22kW,Wallbe Pro Plus,Naroden Front Skopje 1000,Centar
10,21.4192586,42.0048405,charging_station,no,24/7,EVN,22kW,Wallbe Pro,Bulevar Ilinden 82 Assembly of the City of Skopje,Centar
11,21.4775368,41.9887319,charging_station,no,24/7,EVN,22kW,Wallbe Pro Plus,Double Tree By Hilton Kej na Vardar Parking Hotel MK Skopje 1000,Aerodrom
12,21.4870891,42.0070408,charging_station,no,24/7,EVN,22kW,Wallbe Pro Plus,Edvard Kardelj/Aleksandar Makedonski Madzhari,Gazi Baba
